Tema,Contenido
"Política de Envíos y Entregas - Tiempos","Envío Estándar: Entre 3 y 5 días hábiles para ciudades principales. Entre 5 y 7 días hábiles para zonas rurales. Envío Exprés: Entre 24 y 48 horas hábiles (solo disponible para capitales y ciudades principales). Los pedidos realizados después de las 2:00 PM se procesan el siguiente día hábil."
"Política de Envíos y Entregas - Costos","El envío estándar es GRATIS para compras superiores a $50 USD. Para compras inferiores a $50 USD, el envío estándar tiene un costo de $5 USD. El envío exprés tiene un costo fijo de $12 USD, sin importar el monto de la compra."
"Política de Envíos y Entregas - Rastreo","Una vez que el pedido sea despachado, el cliente recibirá un correo electrónico con el número de guía y un enlace para rastrear el paquete en tiempo real a través de nuestra empresa de logística aliada (FastTrack Logistics)."
"Política de Cambios y Devoluciones - Plazo","Los clientes tienen un plazo máximo de 30 días calendario, contados a partir de la fecha de recepción del producto, para solicitar un cambio o devolución."
"Política de Cambios y Devoluciones - Condiciones","Para ser elegible para una devolución, el producto debe estar sin uso, en las mismas condiciones en que se recibió y en su empaque original sellado. Productos en oferta o de liquidación no tienen cambio ni devolución, a menos que presenten defectos de fábrica."
"Política de Cambios y Devoluciones - Proceso","El cliente debe iniciar la solicitud enviando un correo a soporte@techstore.com con el número de pedido y el motivo de la devolución. Si la devolución es por garantía (producto defectuoso), TechStore asume los costos de envío de retorno. Si es por retracto de compra, el cliente asume el costo del envío. El reembolso se procesará al método de pago original en un plazo de 5 a 10 días hábiles."
"Preguntas Frecuentes - Métodos de pago","Aceptamos tarjetas de crédito y débito (Visa, MasterCard, American Express), pagos a través de PayPal y transferencias bancarias a través de pasarelas de pago seguras. No aceptamos pagos contra entrega."
"Preguntas Frecuentes - Cancelar o modificar pedido","Sí, pero solo durante las primeras 2 horas posteriores a la confirmación de la compra contactando a soporte. Una vez que el pedido pasa al estado 'En preparación', no es posible realizar cancelaciones."
"Preguntas Frecuentes - Tiendas físicas","Actualmente operamos un modelo 100% digital y no contamos con tiendas físicas. Todos los pedidos se entregan directamente en el domicilio registrado por el cliente."
"Preguntas Frecuentes - Producto dañado","Debes reportarlo en un plazo no mayor a 48 horas después de recibir el paquete. Envíanos fotos del producto y del empaque a soporte@techstore.com para procesar el reemplazo de forma inmediata y gratuita."
